Id,Label,timeset,0,1,2,3,4,5,6,7,8,9,indegree,outdegree,Degree,componentnumber,strongcompnum,modularity_class
n29,neighblog,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:14:""GemmalipsGemma"";s:4:""name"";s:10:""Gemma Roth"";s:2:""id"";i:1873305014;s:6:""id_str"";s:10:""1873305014"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:15;}}}",2293007526,21126,2425,1703,2014-01-15 12:13:10,Watching Neighbours so you don't have to since 2014,,,2,1,3,20,39,34
n30,buttigiegmark,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",2371746176,10536,346,624,2014-03-04 05:56:50,Labor Member of the NSW Legislative Council Opposition Whip.,,,0,0,0,21,40,16
n31,bjd,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",5741062,28013,394,205,2007-05-03 10:21:36,Moved by the moved mover. Sent by the sent sender. DB Admin. FileMakerPro. Apple. Mazda3. LiverpoolFC. SydneyFC.  Not a podcaster. Not DoE spokesperson.,Land of the Bidjigal people,,0,0,0,22,41,17
n32,mackaysuzie,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",1038235795,1070784,485,6027,2012-12-26 17:32:33,Twitter Platinum Super User and frequent troll apparently and deranged imbecile recording to Bevan Shields,,,12,0,12,0,42,584
n33,damiandaymon,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:5:""GetUp"";s:4:""name"";s:6:""GetUp!"";s:2:""id"";i:26189696;s:6:""id_str"";s:8:""26189696"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:6;}}}",1169831482501652481,4844,260,121,2019-09-06 00:36:06,,,,0,1,1,0,44,588
n34,rob29bennett,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",3246556494,2884,211,81,2015-06-16 04:01:51,"I only believe what I see with my own eyes and hear with my own ears, not what I read",,,0,0,0,23,45,18
n35,jojomills13,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",2913162242,136434,2385,3488,2014-11-28 19:18:37,"Labor left, atheist, animal lover  Member ALP",Port Macquarie NSW,,0,0,0,24,46,19
n36,laurie_rich,,true,"a:8:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""ProsperHS"";s:4:""name"";s:19:""Prosper High School"";s:2:""id"";i:856620158;s:6:""id_str"";s:9:""856620158"";s:7:""indices"";a:2:{i:0;i:170;i:1;i:180;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""ENO_PHS"";s:4:""name"";s:19:""Eagle Nation Online"";s:2:""id"";i:771886554222563328;s:6:""id_str"";s:18:""771886554222563328"";s:7:""indices"";a:2:{i:0;i:182;i:1;i:190;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""Hferguson28"";s:4:""name"";s:9:""hferguson"";s:2:""id"";i:335590680;s:6:""id_str"";s:9:""335590680"";s:7:""indices"";a:2:{i:0;i:192;i:1;i:204;}}i:3;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""EagleNationNews"";s:4:""name"";s:20:""Eagle Nation Network"";s:2:""id"";i:1647579246;s:6:""id_str"";s:10:""1647579246"";s:7:""indices"";a:2:{i:0;i:206;i:1;i:222;}}i:4;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""ProsperISD"";s:4:""name"";s:11:""Prosper ISD"";s:2:""id"";i:72658068;s:6:""id_str"";s:8:""72658068"";s:7:""indices"";a:2:{i:0;i:224;i:1;i:235;}}i:5;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""prosperCTE"";s:4:""name"";s:11:""Prosper CTE"";s:2:""id"";i:3561884532;s:6:""id_str"";s:10:""3561884532"";s:7:""indices"";a:2:{i:0;i:237;i:1;i:248;}}i:6;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""JohnMBurdett"";s:4:""name"";s:15:""John M. Burdett"";s:2:""id"";i:726053529161363456;s:6:""id_str"";s:18:""726053529161363456"";s:7:""indices"";a:2:{i:0;i:250;i:1;i:263;}}i:7;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""Boyer_Elem_PISD"";s:4:""name"";s:16:""Boyer Elementary"";s:2:""id"";i:986249597206122498;s:6:""id_str"";s:18:""986249597206122498"";s:7:""indices"";a:2:{i:0;i:264;i:1;i:280;}}}",1167619712,405,296,167,2013-02-10 21:37:45,"Wife, mom, life-long learner, difference maker, servant leader",,,0,8,8,25,55,20
n37,lanaya_okesvds,,true,"a:3:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""OSheaKeleher_ES"";s:4:""name"";s:12:""Laura Garcia"";s:2:""id"";i:3075996747;s:6:""id_str"";s:10:""3075996747"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:16;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""laurennn216"";s:4:""name"";s:11:""lauren rose"";s:2:""id"";i:1244469627805204481;s:6:""id_str"";s:19:""1244469627805204481"";s:7:""indices"";a:2:{i:0;i:17;i:1;i:29;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""Denise_TAFE_MHS"";s:4:""name"";s:13:""Denise Guzman"";s:2:""id"";i:1174114719822680065;s:6:""id_str"";s:19:""1174114719822680065"";s:7:""indices"";a:2:{i:0;i:30;i:1;i:46;}}}",3287029596,1675,180,234,2015-07-21 23:15:21,Proud Dyslexia Provider for the  O’Shea Keleher Crusaders and the Vista Del Sol Eagles! ❤️,"El Paso, TX",,0,3,3,26,61,538
n38,forthleft3,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",821192098946789377,9928,1865,1085,2017-01-16 22:07:08,Don't normalise evil.,"Tinonee, New South Wales",,0,2,2,0,132,588
n39,rocket2207,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",1871710123,10342,337,180,2013-09-16 09:31:17,The grass is not greener over the fence. Look closer before you jump the fence.,"Sydney, New South Wales",,0,0,0,27,133,21
n40,paulrob11880584,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",1122643057571057664,28124,257,280,2019-04-28 19:25:37,,South Coast NSW,,0,0,0,28,134,22
n41,mattinnes4,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",2377767540,25302,232,84,2014-03-07 18:07:33,Invented the apostrophe. Currently working on another punctuation related project...,,,0,0,0,29,135,23
n42,anderman800,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""CITCanberra"";s:4:""name"";s:12:""Fiona Irvine"";s:2:""id"";i:193591432;s:6:""id_str"";s:9:""193591432"";s:7:""indices"";a:2:{i:0;i:82;i:1;i:94;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""citsa4u"";s:4:""name"";s:18:""CIT Student Assoc."";s:2:""id"";i:248503437;s:6:""id_str"";s:9:""248503437"";s:7:""indices"";a:2:{i:0;i:95;i:1;i:103;}}}",581347380,4903,847,177,2012-05-15 17:31:12,"hi I am Alexander, I live in Canberra Australia. I love to live stream on https://t.co/3OEMsaM2Ma and make vlogs on YouTube for everyone to see.","Canberra, Australian Capital T",,0,2,2,30,138,568
n43,vitocarrozzo,,true,"a:3:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""rlong62"";s:4:""name"";s:11:""Robert Long"";s:2:""id"";i:265941093;s:6:""id_str"";s:9:""265941093"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""stef_faurby"";s:4:""name"";s:14:""Steffen Faurby"";s:2:""id"";i:261630080;s:6:""id_str"";s:9:""261630080"";s:7:""indices"";a:2:{i:0;i:29;i:1;i:41;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""GladysB"";s:4:""name"";s:18:""Gladys Berejiklian"";s:2:""id"";i:704882735815401472;s:6:""id_str"";s:18:""704882735815401472"";s:7:""indices"";a:2:{i:0;i:42;i:1;i:50;}}}",312967248,46734,4974,4140,2011-06-07 19:25:00,"Was once a crusader in the corporate arena, now doing my bit as a member of the COVID-19 Response Team #MaskUpSydney 😷",Sydney,,0,2,2,0,139,469
n44,mairmicate,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",360310176,2007,1658,833,2011-08-22 20:54:53,Mother. Aunt. Great Aunt. Unionist. Feminist. Singer/actor/ukulele player. Breast cancer survivor. Loves real tea in a pot. All views mine.,"Melbourne, Victoria, Australia",,0,1,1,0,140,9
n45,wellsprings_joy,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",1240230948,5258,606,566,2013-03-03 20:35:51,Sewer Rat living on Wiradjuri Country,Australia,,0,0,0,31,141,24
n46,loupollard,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",282365665,30422,2850,2119,2011-04-14 22:20:28,"Professional fool, writer, single mum, cat servant Reel: https://t.co/21GCQFEDKY Agent: https://t.co/F7UV6S1kua Living on Bidjigal & Gadigal land",Steak & Kidney,,0,0,0,32,142,25
n47,linklaterkerrie,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",1093817747719344128,13342,691,356,2019-02-08 05:24:08,,,,0,0,0,33,143,26
n48,taylmer,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""Basilwazil"";s:4:""name"";s:28:""Donna-Marie Currey Sewer Rat"";s:2:""id"";i:124378198;s:6:""id_str"";s:9:""124378198"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:11;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""LesStonehouse"";s:4:""name"";s:18:""Politic@l Spinner."";s:2:""id"";i:1108565574;s:6:""id_str"";s:10:""1108565574"";s:7:""indices"";a:2:{i:0;i:12;i:1;i:26;}}}",32172130,28367,1697,1381,2009-04-16 18:01:31,Studying to become a vampire,,,0,2,2,34,146,595
n49,olive_new,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",381851179,16539,916,843,2011-09-28 21:50:51,"If Leftie means wanting a 'fairer' 'caring' and 'compassionate Society, then that's me!",,,0,0,0,35,147,27
n50,sourceplayer,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",312973780,4393,179,80,2011-06-07 19:40:38,,,,0,0,0,36,148,28
