Id,Label,timeset,0,1,2,3,4,5,6,7,8,9,indegree,outdegree,Degree,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub
n33,damiandaymon,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:5:""GetUp"";s:4:""name"";s:6:""GetUp!"";s:2:""id"";i:26189696;s:6:""id_str"";s:8:""26189696"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:6;}}}",1169831482501652481,4844,260,121,2019-09-06 00:36:06,,,,0,1,1,9,0,1,1,1,1,1,0,0,0.000828
n38,forthleft3,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",821192098946789377,9928,1865,1085,2017-01-16 22:07:08,Don't normalise evil.,"Tinonee, New South Wales",,0,2,2,8,0,2,2,4,0.346154,0.362037,0,0,0.015287
n43,vitocarrozzo,,true,"a:3:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""rlong62"";s:4:""name"";s:11:""Robert Long"";s:2:""id"";i:265941093;s:6:""id_str"";s:9:""265941093"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""stef_faurby"";s:4:""name"";s:14:""Steffen Faurby"";s:2:""id"";i:261630080;s:6:""id_str"";s:9:""261630080"";s:7:""indices"";a:2:{i:0;i:29;i:1;i:41;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""GladysB"";s:4:""name"";s:18:""Gladys Berejiklian"";s:2:""id"";i:704882735815401472;s:6:""id_str"";s:18:""704882735815401472"";s:7:""indices"";a:2:{i:0;i:42;i:1;i:50;}}}",312967248,46734,4974,4140,2011-06-07 19:25:00,"Was once a crusader in the corporate arena, now doing my bit as a member of the COVID-19 Response Team #MaskUpSydney 😷",Sydney,,0,2,2,7,0,2,2,1,1,1,0,0,0.010157
n44,mairmicate,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",360310176,2007,1658,833,2011-08-22 20:54:53,Mother. Aunt. Great Aunt. Unionist. Feminist. Singer/actor/ukulele player. Breast cancer survivor. Loves real tea in a pot. All views mine.,"Melbourne, Victoria, Australia",,0,1,1,0,0,1,1,3,0.5,0.611111,0,0,0.00329
n52,peteleunig,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:20;i:1;i:32;}}}",956439776,1228,870,150,2012-11-18 18:59:43,"Writing on his recovery from his childhood sexual abuse at the hands of his uncle, a Catholic priest, a mass predator who mowed through families of Perth boys.","Sydney, Australia",,0,3,3,2,0,3,3,1,1,1,0,0,0.030182
n57,jennylmackinnon,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",158690792,77922,4900,2124,2010-06-23 06:17:22,Organisational entrepreneurship & innovation. Bad Xtian. @GracieMcScruff owner. Australian.,"Outer East, Victoria",,0,1,1,0,0,1,1,3,0.5,0.611111,0,0,0.00329
n58,lionsman33,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""nbnnews"";s:4:""name"";s:8:""NBN News"";s:2:""id"";i:17332980;s:6:""id_str"";s:8:""17332980"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}}",279551847,80058,1542,420,2011-04-09 10:09:27,I love sports. I'm a quiet and laid-back individual who keeps to myself. 🇦🇺🇫🇯,"Adelaide, Australia",,0,1,1,6,0,1,1,1,1,1,0,0,0.00172
n64,shoebridgemlc,,true,a:0:{},55117013,25034,4853,18429,2009-07-08 22:41:29,"Greens NSW MP. Social justice, forests for the future, Treaties, sovereignty and climate justice",Sydney,1,13,0,13,8,13,0,13,0,0,0,0,0.124059,0
n67,garphillian,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:9;}}}",19707567,419,606,61,2009-01-29 06:59:30,"Smart enough to know I am not dumb, dumb enough to know I am not smart. Freedoms are easy to give up when they belong to someone else. I live on Narangga Land.",Adelaide,,0,1,1,0,0,1,1,3,0.5,0.611111,0,0,0.00329
n70,mrmadrigal1,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""ShoebridgeMLC"";s:4:""name"";s:16:""David Shoebridge"";s:2:""id"";i:55117013;s:6:""id_str"";s:8:""55117013"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:14;}}}",1018775230569857024,32217,445,560,2018-07-16 04:31:57,"Boot the Liberals, they’re a corrupt rabble.Stop Aus DV. House homeless. Free all Refugees. Boycott the Murdochracy filth. Proud Sewer Rat.",Sydney Waterloo,,0,1,1,8,0,1,1,1,1,1,0,0,0.006126
n81,valuefocus,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""stef_faurby"";s:4:""name"";s:14:""Steffen Faurby"";s:2:""id"";i:261630080;s:6:""id_str"";s:9:""261630080"";s:7:""indices"";a:2:{i:0;i:90;i:1;i:102;}}}",65499101,16728,1470,736,2009-08-13 19:24:06,"BE | Logistics Execut'n Sys | CI | Fairness | Surfing | Dali | Show, don't Tell  Visibility➡️Accountability➡️Control➡️Improvement🔄 Block Influencers & Idiots","Melbourne, Australia",,0,4,4,7,0,4,4,1,1,1,0,0,0.014942
n90,lfptn,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""TAFECampaign"";s:4:""name"";s:12:""TAFECampaign"";s:2:""id"";i:364598854;s:6:""id_str"";s:9:""364598854"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:16;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""sallymcmanus"";s:4:""name"";s:13:""Sally McManus"";s:2:""id"";i:48624704;s:6:""id_str"";s:8:""48624704"";s:7:""indices"";a:2:{i:0;i:123;i:1;i:136;}}}",1721674567,3090,123,35,2013-09-02 04:20:58,"Opinions are mine alone and I do not represent any other person, organisation or entity.",,,0,1,1,4,0,1,1,1,1,1,0,0,0.002617
n91,theredrobyn,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:14:""Hipcatprintery"";s:4:""name"";s:13:""Lawrence Finn"";s:2:""id"";i:185847562;s:6:""id_str"";s:9:""185847562"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:15;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:16;i:1;i:25;}}}",2459812171,29907,4093,1189,2014-04-23 10:20:06,puss puss kram i like pretty rocks whadjuk country  she/her,Avslag,,6,2,8,0,6,2,8,1,1,1,103,0.065331,0.003298
n95,hipcatprintery,,true,"a:3:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""TheRedRobyn"";s:4:""name"";s:38:""hey media, the words LIES & LIAR exist"";s:2:""id"";i:2459812171;s:6:""id_str"";s:10:""2459812171"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:14:""Hipcatprintery"";s:4:""name"";s:13:""Lawrence Finn"";s:2:""id"";i:185847562;s:6:""id_str"";s:9:""185847562"";s:7:""indices"";a:2:{i:0;i:17;i:1;i:32;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:8:""Utopiana"";s:4:""name"";s:14:""Celeste Liddle"";s:2:""id"";i:9950542;s:6:""id_str"";s:7:""9950542"";s:7:""indices"";a:2:{i:0;i:33;i:1;i:42;}}}",185847562,17237,866,539,2010-09-01 20:01:24,"lots of lives, like a cat... always art, always a teacher, lecturer, occasionally an academic. Artwork in NGA, AGNSW, NLA, Curtin,SLQ. Background in I.T tech",Newbury Victoria Australia,,2,3,5,0,2,3,5,1,1,1,0,0.000163,0.006516
n102,askgerbil,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""GladysB"";s:4:""name"";s:18:""Gladys Berejiklian"";s:2:""id"";i:704882735815401472;s:6:""id_str"";s:18:""704882735815401472"";s:7:""indices"";a:2:{i:0;i:97;i:1;i:105;}}}",91039220,149939,4998,4195,2009-11-18 23:55:05,Gerbilnow interests include sustainable development and advising government and industry on technology and policy to encourage sound decision making.,Canberra - Australia,,0,2,2,10,0,2,2,4,0.456853,0.477778,0,0,0.017226
n104,feverpitch96,,true,"a:3:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""rlong62"";s:4:""name"";s:11:""Robert Long"";s:2:""id"";i:265941093;s:6:""id_str"";s:9:""265941093"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:11;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:7:""GladysB"";s:4:""name"";s:18:""Gladys Berejiklian"";s:2:""id"";i:704882735815401472;s:6:""id_str"";s:18:""704882735815401472"";s:7:""indices"";a:2:{i:0;i:14;i:1;i:22;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""GeoffLeeMP"";s:4:""name"";s:12:""Geoff Lee MP"";s:2:""id"";i:221570520;s:6:""id_str"";s:9:""221570520"";s:7:""indices"";a:2:{i:0;i:36;i:1;i:47;}}}",16537026,20203,1314,728,2008-09-30 19:38:06,"Singer/songwriter, amateur filmmaker & photographer, archive TV geek. All views/comments are my own.","Sydney, Australia",,0,3,3,10,0,3,3,1,1,1,0,0,0.019235
n107,corruptnsw,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""TAFEdefender"";s:4:""name"";s:5:""Kathy"";s:2:""id"";i:163412567;s:6:""id_str"";s:9:""163412567"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:16;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""GeoffLeeMP"";s:4:""name"";s:12:""Geoff Lee MP"";s:2:""id"";i:221570520;s:6:""id_str"";s:9:""221570520"";s:7:""indices"";a:2:{i:0;i:117;i:1;i:128;}}}",158123632,496789,5868,5337,2010-06-21 17:13:25,"#OLSC & #ASIC ignore #auslaw in husband's estate. https://t.co/TVLdJwDTMz Lost job 2012. 29yr daughter @HelpLeila dies #cancer","Hell,Hades,Mictlan,Tartarus",,0,4,4,9,0,4,4,4,0.461929,0.489011,0,0,0.027972
n108,gaelb100,,true,"a:5:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""singingeyes"";s:4:""name"";s:11:""Helen Dyjak"";s:2:""id"";i:288577525;s:6:""id_str"";s:9:""288577525"";s:7:""indices"";a:2:{i:0;i:19;i:1;i:31;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""FatherBob"";s:4:""name"";s:9:""FatherBob"";s:2:""id"";i:9560992;s:6:""id_str"";s:7:""9560992"";s:7:""indices"";a:2:{i:0;i:32;i:1;i:42;}}i:3;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""racing_nsw"";s:4:""name"";s:10:""Racing NSW"";s:2:""id"";i:56629956;s:6:""id_str"";s:8:""56629956"";s:7:""indices"";a:2:{i:0;i:43;i:1;i:54;}}i:4;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""GeoffLeeMP"";s:4:""name"";s:12:""Geoff Lee MP"";s:2:""id"";i:221570520;s:6:""id_str"";s:9:""221570520"";s:7:""indices"";a:2:{i:0;i:104;i:1;i:115;}}}",2931391968,49404,1210,321,2014-12-15 11:56:28,🇦🇺,"Sydney, New South Wales",,0,4,4,2,0,4,4,4,0.375,0.406481,0,0,0.031927
n112,theriverfed,,true,"a:4:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""singingeyes"";s:4:""name"";s:11:""Helen Dyjak"";s:2:""id"";i:288577525;s:6:""id_str"";s:9:""288577525"";s:7:""indices"";a:2:{i:0;i:19;i:1;i:31;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""FatherBob"";s:4:""name"";s:9:""FatherBob"";s:2:""id"";i:9560992;s:6:""id_str"";s:7:""9560992"";s:7:""indices"";a:2:{i:0;i:32;i:1;i:42;}}i:3;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""racing_nsw"";s:4:""name"";s:10:""Racing NSW"";s:2:""id"";i:56629956;s:6:""id_str"";s:8:""56629956"";s:7:""indices"";a:2:{i:0;i:61;i:1;i:72;}}}",125911617,51098,1631,865,2010-03-24 03:10:31,"Sometimes, I'm not here.","Melbourne, Australia",,0,3,3,2,0,3,3,4,0.373444,0.400926,0,0,0.02202
n114,westjgames,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:12:""t3hp0larbear"";s:4:""name"";s:18:""A Bear Named Polar"";s:2:""id"";i:378706992;s:6:""id_str"";s:9:""378706992"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:13;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:6:""xssfox"";s:4:""name"";s:16:""xssfox (She/Her)"";s:2:""id"";i:753927031293829121;s:6:""id_str"";s:18:""753927031293829121"";s:7:""indices"";a:2:{i:0;i:14;i:1;i:21;}}}",294031618,1018,545,202,2011-05-06 08:15:19,"Web Developer | NodeJS, React, Svelte, Firebase | HAM Operator | VK3STL | https://t.co/5ZyAxbAm32 | https://t.co/6IQLhDzTKi","Melbourne, Victoria",,0,2,2,11,0,2,2,1,1,1,0,0,0.003284
n115,macro2779,,true,"a:5:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""singingeyes"";s:4:""name"";s:11:""Helen Dyjak"";s:2:""id"";i:288577525;s:6:""id_str"";s:9:""288577525"";s:7:""indices"";a:2:{i:0;i:19;i:1;i:31;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""FatherBob"";s:4:""name"";s:9:""FatherBob"";s:2:""id"";i:9560992;s:6:""id_str"";s:7:""9560992"";s:7:""indices"";a:2:{i:0;i:32;i:1;i:42;}}i:3;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""racing_nsw"";s:4:""name"";s:10:""Racing NSW"";s:2:""id"";i:56629956;s:6:""id_str"";s:8:""56629956"";s:7:""indices"";a:2:{i:0;i:43;i:1;i:54;}}i:4;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""GeoffLeeMP"";s:4:""name"";s:12:""Geoff Lee MP"";s:2:""id"";i:221570520;s:6:""id_str"";s:9:""221570520"";s:7:""indices"";a:2:{i:0;i:104;i:1;i:115;}}}",428727771,18472,1188,345,2011-12-04 22:30:47,"Semi-sentient parent, partner, socialist and tolerator of many chooks, lover of plants. Cactus people, cactus!",Blue Mountains,,0,4,4,2,0,4,4,4,0.375,0.406481,0,0,0.031927
n116,meganrandhsmum,,true,"a:5:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:13:""TAFEeducation"";s:4:""name"";s:11:""Adam Curlis"";s:2:""id"";i:2336306731;s:6:""id_str"";s:10:""2336306731"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:17;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""singingeyes"";s:4:""name"";s:11:""Helen Dyjak"";s:2:""id"";i:288577525;s:6:""id_str"";s:9:""288577525"";s:7:""indices"";a:2:{i:0;i:19;i:1;i:31;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:9:""FatherBob"";s:4:""name"";s:9:""FatherBob"";s:2:""id"";i:9560992;s:6:""id_str"";s:7:""9560992"";s:7:""indices"";a:2:{i:0;i:32;i:1;i:42;}}i:3;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""racing_nsw"";s:4:""name"";s:10:""Racing NSW"";s:2:""id"";i:56629956;s:6:""id_str"";s:8:""56629956"";s:7:""indices"";a:2:{i:0;i:43;i:1;i:54;}}i:4;O:8:""stdClass"":5:{s:11:""screen_name"";s:10:""GeoffLeeMP"";s:4:""name"";s:12:""Geoff Lee MP"";s:2:""id"";i:221570520;s:6:""id_str"";s:9:""221570520"";s:7:""indices"";a:2:{i:0;i:104;i:1;i:115;}}}",1316147074501500928,1531,178,15,2020-10-13 18:42:10,,,,0,4,4,2,0,4,4,4,0.375,0.406481,0,0,0.031927
n118,awambmrgw,,true,"a:1:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""JodiMcKayMP"";s:4:""name"";s:10:""Jodi McKay"";s:2:""id"";i:2495851202;s:6:""id_str"";s:10:""2495851202"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:15;}}}",1265663843914510336,49745,1567,553,2020-05-27 11:19:38,Guest on Whadjuk country,"Perth, Western Australia",,0,4,4,2,0,4,4,4,0.375,0.406481,0,0,0.031927
n126,caitlen2310,,true,"a:3:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:14:""bornblonde0077"";s:4:""name"";s:8:""whats up"";s:2:""id"";i:301130320;s:6:""id_str"";s:9:""301130320"";s:7:""indices"";a:2:{i:0;i:3;i:1;i:18;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:14:""judithajames11"";s:4:""name"";s:12:""Judith James"";s:2:""id"";i:742769376277843972;s:6:""id_str"";s:18:""742769376277843972"";s:7:""indices"";a:2:{i:0;i:20;i:1;i:35;}}i:2;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""ElaineM11584892"";s:4:""name"";s:12:""Elaine McKay"";s:2:""id"";i:1150553499500814339;s:6:""id_str"";s:19:""1150553499500814339"";s:7:""indices"";a:2:{i:0;i:36;i:1;i:52;}}}",2336713098,75101,46,443,2014-02-10 08:48:52,Love Life - Live Life - Love People,Australia,,0,2,2,12,0,2,2,2,0.571429,0.625,0,0,0.01105
n128,mismash5,,true,"a:2:{i:0;O:8:""stdClass"":5:{s:11:""screen_name"";s:11:""georgiedent"";s:4:""name"";s:12:""Georgie Dent"";s:2:""id"";i:20565970;s:6:""id_str"";s:8:""20565970"";s:7:""indices"";a:2:{i:0;i:0;i:1;i:12;}}i:1;O:8:""stdClass"":5:{s:11:""screen_name"";s:15:""ScottMorrisonMP"";s:4:""name"";s:14:""Scott Morrison"";s:2:""id"";i:34116377;s:6:""id_str"";s:8:""34116377"";s:7:""indices"";a:2:{i:0;i:13;i:1;i:29;}}}",1107962613239996427,3280,197,53,2019-03-19 07:10:46,Not a complicated person. Not a simple one either.,,,0,2,2,10,0,2,2,1,1,1,0,0,0.006612
